4-Digit ID,Total Hours
4802,0
1197,17.58
/,5
4860,4.5
5933,0
5034,0
4067,3
4687,8.5
/,0
5872,4
4854,3
5174,0
3277,3
4457,0
3252,67.58
5082,0
/,6
/,13.17
5831,10.5
/,0
5419,0
1598,0
4422,17.5
3087,14.75
5245,5
4512,3
/,1
/,11
5094,0
1313,2
4532,11.5
/,6
4970,40.17
1172,6.5
5345,0
4617,8.5
5019,8
1381,0
4584,6
4418,36.92
4283,26.17
5337,0
1434,11.5
5056,4.5
5154,6
4042,66.17
1189,6
4807,44.17
4021,0
3968,0
4064,0
4704,22.83
4316,9
4018,27.67
5846,13.75
5668,11.5
3992,0
/,1
5973,0
1041,10.25
/,8
1078,0
4950,53.5
3723,27.83
1414,42.08
/,0
/,0
/,1
3890,8
4724,33.33
1168,3
5723,13
5878,16.25
/,4
5400,0
4684,0
5880,0
1471,1
4359,4.5
5709,0
1064,0
1308,0
3449,3
1055,30.92
5938,0
1041,0
4138,0
/,0
5182,0
/,0
5488,0
1176,1
3492,33.83
1185,24
1440,77.5
1176,7.83
1031,0
4413,4.5
/,15.5
/,23
5229,37.17
4117,40.25
/,0
1113,0
5426,20
/,0
4935,0
/,0
4437,61.67
1047,1
5765,10.5
1417,11
5634,0
1111,30.5
4351,41
1401,33.75
5053,2.25
1461,1
5917,10.5
1228,7
1231,1
/,1
1518,0
3207,42.5
5334,0
4857,0
4384,32
3500,0
1160,37.17
4863,0
5961,26.92
3522,0
5989,0
3246,23.58
5770,0
3296,0
5513,0
4619,0
5349,19
1558,8
4414,21.67
5343,0
5864,0
4734,11.75
5030,7
3335,6.67
4833,42.5
3787,67.5
3865,9.5
1292,5.5
3714,6
1248,1
3456,0
1560,0
3310,15
5494,21
5224,0
1059,1
5291,7
4204,72.75
/,4.67
4179,48.75
1294,19.5
5046,11.92
5096,0
3140,34.17
1302,20
3188,6
1032,6.17
4254,53.08
1430,0
5451,7.5
5822,0
5860,0
1232,32
5976,0
1038,3
4719,17.33
1281,12.5
5015,3
/,0
1122,0
4936,0
5992,0
4107,4.5
5458,0
1370,0
5906,0
5519,0
1141,3
1363,0
1340,0
/,0
/,0
4183,13.5
9369,0
5521,19.42
/,0
3868,3
1156,6.33
1035,0
/,0
5511,0
5998,5
3295,10.5
1182,0
5207,0
4491,0
/,0
4210,4.5
5254,3.75
3406,1
5555,0
1125,0
/,11.5
4803,11.5
5524,0
1554,0
5259,0
5379,0
5927,26.67
5546,0
5042,0
5042,0
4611,85.33
5875,0
5647,0
4466,19.58
5630,0
/,19.67
/,0
4154,29.5
3544,7
4352,0
4576,18
1140,0
/,0
5326,4
/,7.33
4454,4.5
3055,11.5
/,3
5286,0
4070,0
4221,0
/,0
3314,10.5
5007,13
1046,23.25
4952,22.5
5615,4.5
/,0
5600,3
1121,24
1056,1
1112,26.25
/,4.5
5263,0
5105,10
1172,6.75
/,47.08
/,32.17
5211,0
5444,0
5720,0
/,5
1067,0
/,0
5403,3
1020,1
4604,0
1075,4
1341,0
5018,8
5196,0
4083,0
5415,0
4043,0
/,0
/,0
1147,23
1013,18.42
3248,58.67
5232,8
5341,0
5866,0
3254,3.5
1163,17
3837,23.5
/,0
5909,4
1297,0
1439,0
/,0
5564,0
4650,13.5
5956,9.5
/,0
5767,0
1039,7.17
4729,0
/,0
/,1
4634,23.83
/,0
1603,1
3635,54.33
4238,7
5653,0
1451,0
1145,14
/,0
4919,13.33
1605,0
4125,6
4215,0
5296,15.75
1171,1
7319,0
/,0
5571,19.33
4456,0
/,0
/,0
4105,0
/,0
5559,4.5
1285,0
1509,1
4411,21.25
5590,6
1329,1
1319,0
5010,0
1227,7
5278,10
/,0
/,20
4262,3
4013,0
4963,30.67
4850,20.33
1311,13.17
1292,25.08
4747,42.75
/,0
1009,2
/,15
4344,29.5
4045,15
4192,77.25
5685,82.17
/,0
3674,60.67
3342,39.75
5771,17.5
/,0
4132,24
5572,7.83
3208,29.5
/,1
4524,0
5297,57.67
/,17.17
/,0
4190,16.33
5331,0
1063,1
1143,0
4653,0
3463,8
4806,68.58
1599,0
4104,20
3074,10.5
3670,28.33
5678,5
4669,0
4220,13
3784,6
1300,
5265,
4302,
4060,
